question:0.04667,-0.55878,0.73649,-0.54611,-0.00263,-0.65397,-1.1349,-0.17294,0.83459,1.01652,
mass:-2.08187,-0.84026,-0.52416,0.66802,-0.9262,-0.76053,0.80759,0.52552,0.69424,1.14262,
stress:-0.37035,-0.22865,0.33968,-0.66814,-1.09374,-0.14752,0.16514,-0.20477,-0.0432,0.75502,
practic:-1.02291,-0.56375,0.08103,0.02433,-0.34767,-0.3295,-1.1938,0.12362,1.36083,0.57402,
result:-1.24559,-0.74831,-0.78019,0.4641,-0.50032,-0.54639,0.77724,0.07837,0.11562,0.46388,
zhu:-0.46248,0.97417,1.20271,-0.12744,0.34027,-3.34208,-0.15135,0.97016,-0.34486,-0.26894,
rongji:-0.74377,-1.15282,-0.45068,0.13564,-1.21007,1.49886,-1.46167,-2.13021,3.00919,0.23308,
govern:-0.65008,-1.42315,-0.16197,-0.11259,-0.37233,-2.1832,-0.74849,-0.51416,1.27109,0.8045,
report:-0.82121,-0.83627,-1.27906,-0.04959,-1.0301,-0.36025,0.1505,-0.27536,1.21891,1.15569,
can:-0.50068,-0.62976,0.03942,0.32236,-1.50363,-1.14148,0.61204,-1.59349,0.4634,-0.72536,
be:-0.76227,0.51865,0.78737,1.11822,-0.67622,-0.53459,-0.79373,1.92996,0.52993,0.78343,
said:0.47512,-0.437,0.13854,1.42928,-0.99491,-1.3999,-0.4096,-0.47357,1.31722,0.55282,
job:-1.67902,-0.37853,-0.54422,-1.0095,-0.65412,-0.22587,-0.13527,0.31004,0.64608,0.69654,
besid:-0.80187,0.48767,-0.58916,-0.27365,-0.86167,-1.21958,0.5242,-0.45626,0.89222,0.87666,
consider:-1.1192,0.35839,-0.37383,-0.31573,0.08971,-1.0861,-1.1402,1.29084,0.76305,-0.23156,
various:-0.13856,-0.52233,-0.69413,0.45682,-0.06605,0.03189,-0.50395,-0.74229,0.15968,0.16524,
domest:-1.7024,-0.4618,-0.269,0.91254,-1.08635,-0.84096,-0.20005,-0.91009,-0.30368,0.90195,
technolog:-0.37016,0.11151,0.10121,-0.06039,-0.24096,-0.5642,-1.47219,0.87801,0.18107,0.7093,
abroad:-0.67214,-0.13168,0.01853,0.38313,-1.0413,-0.33819,-0.58306,0.53678,-0.0248,0.90576,
laid:-0.19641,-0.56944,-0.19841,0.77373,-0.1514,-0.88471,0.64379,-0.21627,-0.23161,-1.15423,
solid:-0.58939,0.67052,0.32999,-0.08588,-0.45284,-0.37399,0.25068,0.48791,-0.25212,0.0537,
foundat:-1.03558,1.08423,0.91326,-0.81247,-0.34824,0.56033,-0.73031,-0.18099,0.77845,0.72744,
china:0.27302,-0.28333,-0.53582,-0.09463,0.6272,-0.02272,-0.68415,1.31448,1.5473,1.51796,
township:-0.07356,-1.41258,-0.69237,1.09265,-0.45415,-0.5666,0.13433,0.23049,-0.4706,-0.10284,
town:0.32565,-1.25182,0.27853,1.91603,-0.64026,-1.63065,-0.8455,0.73699,-0.09486,0.93425,
lead:-0.87227,-0.54357,-0.56827,-0.7738,0.24038,-0.84234,-0.39384,0.09813,0.50091,0.6749,
good:-0.60905,-0.27436,0.41116,0.45702,0.00551,0.29086,-0.2905,0.7918,0.02245,0.4508,
dilig:-0.86064,0.66875,-0.1989,-0.02293,0.00585,-0.09411,-0.15105,-0.27556,-0.18556,1.23538,
honest:-1.17138,-1.05453,-0.59474,-0.95149,-0.67216,0.34927,-0.99423,-0.21689,0.88534,0.39088,
state:0.49243,0.04999,0.24841,0.74733,-2.6068,0.18782,-1.75,0.23503,0.59793,1.30878,
assert:-0.04294,-0.83976,-1.08566,1.02908,-1.71368,-0.78807,-0.37718,0.73884,0.77453,1.43953,
self:-0.44785,-0.38169,0.7332,0.54221,-1.28224,-0.62214,0.13765,-1.21552,-0.57084,-0.47337,
it:0.73418,0.05766,0.46433,0.271,-0.3805,-0.62464,-1.42041,0.0467,0.37704,-0.91449,
has:-0.16878,0.1215,-0.33915,1.72904,-1.99831,-1.48508,-1.07596,-1.1356,0.5582,-0.37516,
lhoba:0.31703,-0.58453,0.28126,0.58009,-0.85263,-0.86114,-0.42447,-1.31163,-0.08906,0.40666,
nation:0.83449,-0.54924,-0.21464,0.18507,-0.11951,-0.49204,-1.07131,-0.92926,-0.07807,0.69932,
small:-1.00716,1.30834,0.30068,-0.24105,-0.63873,1.08974,0.56224,1.19876,0.70157,-0.70645,
number:-0.898,0.84293,-0.94865,0.36523,-0.83014,-0.48779,-1.77233,0.0015,-0.0908,1.12105,
but:-1.24837,-0.86215,0.65974,0.37592,-0.10339,-1.5999,-1.09312,-0.27056,0.15549,1.4879,
either:-0.20965,1.06328,0.21623,0.25943,-1.69635,-0.78431,-0.59684,0.45439,0.85339,0.37507,
direct:-0.15947,-0.2325,-0.13723,0.13341,-0.99999,-0.19777,-0.84899,-0.26908,0.84512,0.1215,
indirect:0.53179,1.12514,0.60138,-0.05494,-0.29099,-0.66748,-0.01531,-0.72515,0.62867,0.96883,
rais:-0.39084,0.30375,-0.2151,-0.06003,0.33011,-0.06528,0.30483,0.82602,0.08052,-0.72501,
purchas:-0.16787,-0.06876,-0.58405,0.6255,-0.39583,-0.36312,-0.09159,-0.37633,1.07363,0.58933,
power:-1.40364,-0.68732,0.76679,-0.04997,-1.31126,-1.03349,-0.93506,0.45471,0.39615,0.92993,
polici:-0.28192,0.44116,0.01187,1.31624,-0.96004,0.28476,-1.16773,0.25413,0.99111,1.37441,
recent:-0.78833,-0.72062,-0.63856,0.97848,-1.43801,-1.60581,-0.60177,-0.10254,1.07991,0.78356,
year:-0.19529,8e-05,-0.29078,0.20568,-0.92458,-1.28671,-0.56975,0.86852,1.39548,0.06203,
relat:-1.41212,0.65842,-0.06198,0.47714,-0.96267,0.31499,0.17134,-0.2177,0.22771,1.87169,
between:-0.91679,0.06012,-0.43909,0.375,-2.45373,-1.40482,0.89612,-0.47683,-0.25366,2.01848,
well:-0.03271,1.21873,-0.55223,0.53918,0.66172,-0.28149,0.65577,-0.67364,-0.68753,0.97522,
as:-0.10133,-0.06797,-0.79112,-0.14161,-1.01816,-0.23139,0.22226,0.59939,-0.30663,-0.15552,
hindranc:-0.00363,0.13137,-0.6838,0.54692,-0.62266,-0.2421,0.32115,0.56907,-0.29613,-0.35236,
expans:-0.03926,0.00844,-0.21567,0.67581,-0.58359,-0.12157,-0.59796,-0.37879,-0.87157,1.15197,
juli:0.23379,-0.22758,0.35973,0.70181,-0.36579,-1.12314,-0.75015,1.07798,-0.01116,-0.17012,
1994:-0.4412,0.34224,-0.47067,0.8156,-0.53932,-0.61889,-0.46036,0.20683,0.10946,0.57924,
abolish:-0.12848,-0.11055,0.98614,0.7726,-0.22534,-0.4979,-0.22133,-0.4601,0.23171,-0.02784,
same:-1.25223,-1.12451,0.98247,1.0726,-1.3989,-0.67116,0.1657,-0.53797,-0.0395,0.54195,
time:-1.41426,0.16908,-0.56814,0.04844,0.0917,-1.34311,0.36951,-0.01001,1.57828,0.33709,
on:-0.60781,-1.17854,-0.07651,-0.15998,-1.44755,-0.77988,0.87382,-0.92983,-0.59646,0.41237,
gorg:-0.13896,-0.6947,-0.73523,0.63208,-1.09343,-1.04032,0.46183,-0.49746,-0.72365,-0.12529,
reservoir:-1.05013,-0.68237,-0.09299,0.08488,-0.14886,-1.04273,0.62676,-0.06042,0.00898,-0.59801,
area:-1.97044,0.24577,-0.66317,0.71455,-0.4684,-1.71143,-0.48978,0.5093,-1.10669,0.32236,
three:-0.84763,-1.52406,-1.93,0.55928,-0.76987,-0.65052,0.06234,0.27828,0.14177,1.10502,
strike:-0.575,0.27156,-0.1127,-0.1774,-0.78046,-1.40874,-0.55695,0.62105,-0.33684,-0.1602,
deal:-1.13781,0.93702,0.22488,0.83984,0.90806,0.34631,-1.07772,0.16254,-0.66692,0.19707,
massiv:-2.02556,-0.17234,-0.63013,0.54088,0.45904,-1.1377,0.09637,0.62161,0.09641,1.38924,
meet:-0.74992,-0.58586,-0.71529,0.57954,-0.75629,-0.3361,0.47424,0.74669,0.50851,0.57587,
need:-1.92006,0.28048,-0.16186,-0.22724,-1.3359,-0.59928,-0.94144,0.03325,1.77827,0.2605,
follow:0.81181,-0.54848,-0.49182,-0.11744,-0.15735,0.08518,0.45763,0.54083,0.87274,0.65336,
access:0.14854,1.15017,1.65019,1.92014,-0.67798,0.64227,-0.03513,-0.17857,1.29096,2.30577,
organ:-0.8929,-0.20885,-0.54318,0.78992,-0.79015,-0.29364,-0.78968,-0.07767,-0.51633,2.3188,
accord:-0.91249,-0.63889,0.76474,0.45329,-0.59791,-0.2184,-1.76062,0.36918,0.57264,0.29565,
not:-0.06598,0.68176,1.33148,0.65526,1.14944,-0.37109,0.17474,-0.04677,0.09308,-0.13095,
onli:-0.87382,-0.11133,0.71395,-0.27442,-1.24184,0.67434,-0.55616,0.42814,0.65675,-0.02544,
